query,duration
01a.sql,0.1066
01a.sql,0.1042
01a.sql,0.1072
01a.sql,0.1071
01a.sql,0.1064
01b.sql,0.0994
01b.sql,0.0997
01b.sql,0.1006
01b.sql,0.1002
01b.sql,0.1001
01c.sql,0.1050
01c.sql,0.1047
01c.sql,0.1054
01c.sql,0.1037
01c.sql,0.1062
01d.sql,0.1007
01d.sql,0.1006
01d.sql,0.1006
01d.sql,0.1005
01d.sql,0.1007
02a.sql,0.6920
02a.sql,0.6852
02a.sql,0.6884
02a.sql,0.6899
02a.sql,0.6901
02b.sql,0.6759
02b.sql,0.6724
02b.sql,0.6713
02b.sql,0.6708
02b.sql,0.6709
02c.sql,0.6404
02c.sql,0.6369
02c.sql,0.6400
02c.sql,0.6354
02c.sql,0.6375
02d.sql,0.8826
02d.sql,0.8794
02d.sql,0.8839
02d.sql,0.8794
02d.sql,0.8831
03a.sql,0.2340
03a.sql,0.2186
03a.sql,0.2191
03a.sql,0.2183
03a.sql,0.2189
03b.sql,0.1402
03b.sql,0.1359
03b.sql,0.1302
03b.sql,0.1358
03b.sql,0.1355
03c.sql,0.4287
03c.sql,0.4289
03c.sql,0.4306
03c.sql,0.4282
03c.sql,0.4294
04a.sql,0.1473
04a.sql,0.1346
04a.sql,0.1352
04a.sql,0.1405
04a.sql,0.1341
04b.sql,0.0835
04b.sql,0.0743
04b.sql,0.0751
04b.sql,0.0747
04b.sql,0.0750
04c.sql,0.1279
04c.sql,0.1306
04c.sql,0.1457
04c.sql,0.1522
04c.sql,0.1490
05a.sql,0.1592
05a.sql,0.1588
05a.sql,0.1589
05a.sql,0.1584
05a.sql,0.1582
05b.sql,0.1536
05b.sql,0.1528
05b.sql,0.1536
05b.sql,0.1537
05b.sql,0.1540
05c.sql,0.2015
05c.sql,0.1944
05c.sql,0.1934
05c.sql,0.1941
05c.sql,0.1935
06a.sql,0.0363
06a.sql,0.0224
06a.sql,0.0223
06a.sql,0.0221
06a.sql,0.0222
06b.sql,0.3394
06b.sql,0.3238
06b.sql,0.3254
06b.sql,0.3256
06b.sql,0.3245
06c.sql,0.0167
06c.sql,0.0165
06c.sql,0.0164
06c.sql,0.0165
06c.sql,0.0164
06d.sql,8.7749
06d.sql,8.7697
06d.sql,8.7627
06d.sql,8.7633
06d.sql,8.7894
06e.sql,0.0261
06e.sql,0.0222
06e.sql,0.0221
06e.sql,0.0221
06e.sql,0.0221
06f.sql,8.8949
06f.sql,8.8973
06f.sql,8.9072
06f.sql,8.8931
06f.sql,8.8980
07a.sql,1.2460
07a.sql,1.2420
07a.sql,1.2457
07a.sql,1.2437
07a.sql,1.2485
07b.sql,0.3230
07b.sql,0.3125
07b.sql,0.3128
07b.sql,0.3128
07b.sql,0.3128
07c.sql,14.5876
07c.sql,14.5708
07c.sql,14.6018
07c.sql,14.6263
07c.sql,14.5840
08a.sql,1.7378
08a.sql,1.7395
08a.sql,1.7365
08a.sql,2.1570
08a.sql,2.2698
08b.sql,0.2193
08b.sql,0.2078
08b.sql,0.2082
08b.sql,0.2085
08b.sql,0.2077
08c.sql,10.1872
08c.sql,10.1963
08c.sql,10.1867
08c.sql,10.1683
08c.sql,10.1924
08d.sql,2.3741
08d.sql,2.3674
08d.sql,2.3704
08d.sql,2.3663
08d.sql,2.3441
09a.sql,0.2869
09a.sql,0.2810
09a.sql,0.2828
09a.sql,0.2815
09a.sql,0.2815
09b.sql,2.3654
09b.sql,2.3546
09b.sql,2.3574
09b.sql,2.3556
09b.sql,2.3565
09c.sql,0.5648
09c.sql,0.5418
09c.sql,0.5445
09c.sql,0.5400
09c.sql,0.5373
09d.sql,2.4257
09d.sql,2.4251
09d.sql,2.4280
09d.sql,2.4304
09d.sql,2.4177
10a.sql,0.5927
10a.sql,0.5837
10a.sql,0.5838
10a.sql,0.5815
10a.sql,0.5816
10b.sql,0.3143
10b.sql,0.3129
10b.sql,0.3154
10b.sql,0.3128
10b.sql,0.3143
10c.sql,18.1436
10c.sql,18.1773
10c.sql,18.0024
10c.sql,18.1794
10c.sql,18.0290
11a.sql,0.0621
11a.sql,0.0518
11a.sql,0.0528
11a.sql,0.0530
11a.sql,0.0532
11b.sql,0.0175
11b.sql,0.0174
11b.sql,0.0173
11b.sql,0.0173
11b.sql,0.0173
11c.sql,0.2834
11c.sql,0.2637
11c.sql,0.2560
11c.sql,0.2632
11c.sql,0.2553
11d.sql,0.2504
11d.sql,0.2599
11d.sql,0.2564
11d.sql,0.2598
11d.sql,0.2729
12a.sql,0.3415
12a.sql,0.3425
12a.sql,0.3420
12a.sql,0.3413
12a.sql,0.3436
12b.sql,0.1132
12b.sql,0.1114
12b.sql,0.1115
12b.sql,0.1117
12b.sql,0.1116
12c.sql,1.3615
12c.sql,1.3564
12c.sql,1.3564
12c.sql,1.3552
12c.sql,1.3563
13a.sql,2.4912
13a.sql,2.4887
13a.sql,2.5192
13a.sql,2.5175
13a.sql,2.5212
13b.sql,1.1126
13b.sql,1.1144
13b.sql,1.1168
13b.sql,1.1188
13b.sql,1.0919
13c.sql,1.0904
13c.sql,1.0970
13c.sql,1.0954
13c.sql,1.0798
13c.sql,1.0931
13d.sql,7.2575
13d.sql,7.3718
13d.sql,7.2552
13d.sql,7.2556
13d.sql,7.0088
14a.sql,0.5646
14a.sql,0.5489
14a.sql,0.5479
14a.sql,0.5485
14a.sql,0.5479
14b.sql,0.1905
14b.sql,0.1894
14b.sql,0.1891
14b.sql,0.1898
14b.sql,0.1897
14c.sql,1.1400
14c.sql,1.1420
14c.sql,1.1394
14c.sql,1.1406
14c.sql,1.1395
15a.sql,0.4333
15a.sql,0.4364
15a.sql,0.4340
15a.sql,0.4333
15a.sql,0.4343
15b.sql,0.0682
15b.sql,0.0580
15b.sql,0.0581
15b.sql,0.0580
15b.sql,0.0578
15c.sql,0.5758
15c.sql,0.5734
15c.sql,0.5629
15c.sql,0.5645
15c.sql,0.5636
15d.sql,0.6674
15d.sql,0.6835
15d.sql,0.6825
15d.sql,0.6824
15d.sql,0.6799
16a.sql,0.2953
16a.sql,0.2877
16a.sql,0.2879
16a.sql,0.2871
16a.sql,0.2874
16b.sql,26.6328
16b.sql,26.7207
16b.sql,26.7083
16b.sql,26.7199
16b.sql,26.7129
16c.sql,2.2784
16c.sql,2.2858
16c.sql,2.2773
16c.sql,2.2794
16c.sql,2.2806
16d.sql,1.8197
16d.sql,1.8185
16d.sql,1.8271
16d.sql,1.8178
16d.sql,1.8206
17a.sql,16.3134
17a.sql,16.2985
17a.sql,16.2916
17a.sql,16.3883
17a.sql,16.2879
17b.sql,11.8108
17b.sql,11.7954
17b.sql,11.8226
17b.sql,11.7626
17b.sql,11.7575
17c.sql,11.3410
17c.sql,11.3709
17c.sql,11.3929
17c.sql,11.4393
17c.sql,11.3814
17d.sql,11.5782
17d.sql,11.5760
17d.sql,11.5756
17d.sql,11.5615
17d.sql,11.5249
17e.sql,16.1466
17e.sql,16.1470
17e.sql,16.1693
17e.sql,16.1366
17e.sql,16.1481
17f.sql,15.5437
17f.sql,15.5456
17f.sql,15.5103
17f.sql,15.5295
17f.sql,15.5235
18a.sql,8.1124
18a.sql,8.0874
18a.sql,8.0765
18a.sql,8.1004
18a.sql,8.0913
18b.sql,0.3362
18b.sql,0.3364
18b.sql,0.3368
18b.sql,0.3370
18b.sql,0.3382
18c.sql,10.4073
18c.sql,10.4051
18c.sql,10.4039
18c.sql,10.4428
18c.sql,10.4051
19a.sql,4.4143
19a.sql,4.4176
19a.sql,4.3746
19a.sql,4.4100
19a.sql,4.3715
19b.sql,0.1862
19b.sql,0.1721
19b.sql,0.1738
19b.sql,0.1826
19b.sql,0.1825
19c.sql,8.1063
19c.sql,8.0812
19c.sql,8.1039
19c.sql,8.0694
19c.sql,8.1019
19d.sql,6.1108
19d.sql,6.0978
19d.sql,6.1018
19d.sql,6.1059
19d.sql,6.0941
20a.sql,183.9557
20a.sql,184.9669
20a.sql,184.1265
20a.sql,183.4974
20a.sql,183.9690
20b.sql,77.0052
20b.sql,75.9609
20b.sql,76.4893
20b.sql,75.6445
20b.sql,75.4633
20c.sql,79.7757
20c.sql,80.2159
20c.sql,80.2656
20c.sql,80.1419
20c.sql,80.0725
21a.sql,0.1334
21a.sql,0.1277
21a.sql,0.1273
21a.sql,0.1272
21a.sql,0.1277
21b.sql,0.0562
21b.sql,0.0558
21b.sql,0.0557
21b.sql,0.0556
21b.sql,0.0558
21c.sql,0.0728
21c.sql,0.0722
21c.sql,0.0725
21c.sql,0.0723
21c.sql,0.0728
22a.sql,0.9674
22a.sql,0.9591
22a.sql,0.9591
22a.sql,0.9577
22a.sql,0.9590
22b.sql,0.4481
22b.sql,0.4456
22b.sql,0.4485
22b.sql,0.4471
22b.sql,0.4469
22c.sql,3.8030
22c.sql,3.8053
22c.sql,3.8023
22c.sql,3.7995
22c.sql,3.7948
22d.sql,3.2879
22d.sql,3.2911
22d.sql,3.2936
22d.sql,3.2990
22d.sql,3.2889
23a.sql,0.3178
23a.sql,0.3087
23a.sql,0.3098
23a.sql,0.3092
23a.sql,0.3083
23b.sql,0.3048
23b.sql,0.3051
23b.sql,0.3045
23b.sql,0.3055
23b.sql,0.3056
23c.sql,0.5867
23c.sql,0.5869
23c.sql,0.5876
23c.sql,0.5879
23c.sql,0.5878
24a.sql,0.8598
24a.sql,0.8513
24a.sql,0.8512
24a.sql,0.8494
24a.sql,0.8495
24b.sql,0.1374
24b.sql,0.1315
24b.sql,0.1307
24b.sql,0.1305
24b.sql,0.1307
25a.sql,3.8168
25a.sql,3.8259
25a.sql,3.7921
25a.sql,3.8182
25a.sql,3.7951
25b.sql,0.4357
25b.sql,0.4347
25b.sql,0.4349
25b.sql,0.4393
25b.sql,0.4386
25c.sql,12.6779
25c.sql,12.6533
25c.sql,12.6507
