Query,Millis,PreMillis,PostMillis,Tuples,Iterations,Lookups,NrIndexEntries,nrUniqueLookups,NrUctNodes,NrPlans,JoinCard,NrSamples,AvgReward,MaxReward,TotalWork
01a.sql,975,754,0,1863,3848,0,1280,1847,10,8,142,8,0.11618526714960892,0.5549384440655096,1.0
01b.sql,1915,1735,0,1043,2044,0,2396141,772,7,5,3,5,0.0895160693275683,0.4473287826421169,1.0
01c.sql,748,722,0,1629,3088,0,501,1383,9,7,3,7,0.07299823796276664,0.5029822414867863,1.0
01d.sql,3375,3328,1,222,550,0,1648,102,4,2,4,2,0.22369096125311125,0.4473819225062225,1.0
02a.sql,475,2,1,239323,605386,0,1458376631,216670,50,16,7834,1211,0.008952292094090701,0.2212845880728301,1.0
02b.sql,309,1,1,210855,525087,0,1458017035,184488,47,18,5228,1051,0.008188830530004538,0.3913249156732339,1.0
02c.sql,7,1,0,703,1519,0,1339576,551,6,4,0,4,1.7229046761470346E-4,6.571838841623325E-4,1.0
02d.sql,672,71,59,313371,707756,0,1459099075,247109,45,17,68316,1416,0.05055941421401359,0.41369986467223097,1.0
03a.sql,2702,2675,0,16587,47548,0,111108317,18153,21,8,206,96,0.008512361113270783,0.27164857834239436,1.0
03b.sql,349,340,0,5359,11345,0,3334238,5820,19,8,5,23,0.04897897710463429,0.2704678362573099,1.0
03c.sql,2251,2197,0,30203,74481,0,111140019,29939,28,8,7250,149,0.05102331521231083,0.144944718718518,1.0
04a.sql,1222,1200,0,20784,56260,0,154529471,21572,34,14,740,113,0.010801896174944224,0.14114483873116407,1.0
04b.sql,459,450,0,4005,8571,0,3431124,4059,21,11,6,18,0.0434593858625944,0.2936619096671656,1.0
04c.sql,1963,1927,0,41172,94060,0,181172111,33528,39,14,4700,189,0.02843242966670054,0.28639823088579686,1.0
05a.sql,1382,1328,0,957,2002,0,152,1026,7,5,0,5,0.003760791948658553,0.013279341005745593,1.0
05b.sql,819,810,0,446,1002,0,124,485,5,3,0,3,1.1953931765119046E-4,2.8340473771019183E-4,1.0
05c.sql,2499,2444,0,4843,10334,0,2428872,4674,22,16,669,21,0.11391530769212307,0.50165381404393,1.0
06a.sql,1444,1427,0,3994,9939,0,783119,4511,23,10,6,20,0.04765720411946498,0.29060596741998157,1.0
06b.sql,1193,1184,0,1866,3949,0,34929,1706,10,7,12,8,0.03919522166888693,0.2834229632629025,1.0
06c.sql,1102,1095,0,579,1645,0,30793,481,6,4,2,4,0.008653511830373417,0.018391829644986715,1.0
06d.sql,1992,1979,0,8436,18473,0,116729,8709,23,11,88,37,0.009711062928423483,0.2754220646364889,1.0
06e.sql,1991,1980,0,4095,10853,0,909874,4421,23,9,6,22,0.04325327890900618,0.2906059730017551,1.0
06f.sql,3829,1007,29,1625001,3271788,0,463225717,826832,44,14,785477,6544,0.12018619854517583,0.16300000000000378,1.0
07a.sql,1792,1744,0,22823,49119,0,376457,25201,47,40,32,99,0.013466092842463749,0.19343773090814292,1.0
07b.sql,1302,1276,0,4360,9824,0,119880,4591,23,20,16,20,0.01326563994941916,0.15783759704412004,1.0
07c.sql,6301,3316,0,1534810,4272105,0,330210156,1651237,167,138,68185,8545,0.008428611403091094,0.28400657263320117,1.0
08a.sql,2026,1903,0,27522,56816,0,23511,28223,44,34,62,114,0.02219583813466346,0.31417369353885816,1.0
08b.sql,1586,1572,0,1012,2359,0,1156442,1078,7,5,6,5,0.002155600900085917,0.004830925811419349,1.0
08c.sql,17429,11,9,17290046,41861368,0,66442368,16509166,156,104,2487611,83723,0.02974302757133024,0.465,1.0
08d.sql,17130,11,1,20658175,59669971,0,4238746972,19928458,230,147,323005,119340,0.0027473916592277697,0.39360215763836853,1.0
