query,duration
q2-1.sql,86.6902
q2-1.sql,75.9574
q2-1.sql,76.6259
q2-1.sql,75.7661
q2-1.sql,76.1513
q2-2.sql,15.5506
q2-2.sql,15.3000
q2-2.sql,15.2778
q2-2.sql,15.2773
q2-2.sql,15.2992
q2-3.sql,85.5382
q2-3.sql,82.3307
q2-3.sql,85.0228
q2-3.sql,81.8215
q2-3.sql,85.4546
q3-1.sql,64.6243
q3-1.sql,64.1336
q3-1.sql,63.6907
q3-1.sql,66.6561
q3-1.sql,63.4682
q3-2.sql,72.5634
q3-2.sql,73.0220
q3-2.sql,72.6360
q3-2.sql,73.0428
q3-2.sql,73.2381
q3-3.sql,310.5401
q3-3.sql,309.0940
q3-3.sql,310.0515
q3-3.sql,308.6273
q3-3.sql,310.5754
q4-1.sql,75.2544
q4-1.sql,75.0155
q4-1.sql,75.7656
q4-1.sql,75.8300
q4-1.sql,79.4083
q4-2.sql,85.3903
q4-2.sql,85.5208
q4-2.sql,84.9073
q4-2.sql,85.4254
q4-2.sql,81.3509
q4-3.sql,86.8273
q4-3.sql,89.3274
q4-3.sql,88.8220
q4-3.sql,86.8640
q4-3.sql,85.5566
