query,duration
q1-1.sql,50.4440
q1-1.sql,48.8544
q1-1.sql,48.4869
q1-1.sql,48.3701
q1-1.sql,48.4994
q1-2.sql,47.0258
q1-2.sql,47.2336
q1-2.sql,47.2015
q1-2.sql,47.1361
q1-2.sql,47.0741
q1-3.sql,47.1425
q1-3.sql,47.2108
q1-3.sql,47.4233
q1-3.sql,47.1605
q1-3.sql,47.3597
q2-1.sql,72.5806
q2-1.sql,70.9642
q2-1.sql,72.2922
q2-1.sql,71.7010
q2-1.sql,71.1336
q2-2.sql,22.3868
q2-2.sql,22.3459
q2-2.sql,22.4096
q2-2.sql,22.3504
q2-2.sql,22.3749
q2-3.sql,3.3849
q2-3.sql,3.3731
q2-3.sql,3.3769
q2-3.sql,3.3675
q2-3.sql,3.3746
q3-1.sql,100.4838
q3-1.sql,100.9400
q3-1.sql,101.0191
q3-1.sql,101.1763
q3-1.sql,101.6682
q3-2.sql,70.7773
q3-2.sql,70.6271
q3-2.sql,70.4869
q3-2.sql,70.7873
q3-2.sql,70.3626
q3-3.sql,25.0506
q3-3.sql,24.9438
q3-3.sql,24.9218
q3-3.sql,24.8093
q3-3.sql,24.8587
q4-1.sql,102.8239
q4-1.sql,103.2779
q4-1.sql,103.6174
q4-1.sql,103.9564
q4-1.sql,104.1427
q4-2.sql,88.1925
q4-2.sql,87.8989
q4-2.sql,88.0305
q4-2.sql,87.6258
q4-2.sql,87.8887
q4-3.sql,69.2837
q4-3.sql,68.9093
q4-3.sql,69.2328
q4-3.sql,69.2552
q4-3.sql,69.3971
